transport_mode,origin_region,destination_region,route_distance_km,planned_duration_hours,elapsed_transit_hours,transit_progress_pct,priority_level,carrier_reliability_score,origin_port_congestion_index,dest_port_congestion_index,weather_severity_index,customs_inspection_risk,seasonal_disruption_factor,disrupted
Road,Latin_America,Latin_America,955.2,21.3,12.5,0.5869,Standard,0.8976,31.3,43.4,19.0,0.1552,0.0871,1
Air,Southeast_Asia,Oceania,4453.6,26.1,4.8,0.1839,Standard,0.979,54.1,61.8,46.0,0.3164,0.8085,1
Road,North_America,North_America,1509.0,36.8,27.6,0.75,High,0.8835,29.6,56.3,19.3,0.0471,0.2265,1
Ocean,Southeast_Asia,Latin_America,11897.5,441.2,305.4,0.6922,Standard,0.8082,38.7,31.7,42.4,0.05,0.9489,1
Road,Latin_America,Latin_America,1399.8,27.9,19.8,0.7097,High,0.7919,37.8,17.3,14.6,0.2175,0.7196,1
Ocean,South_Asia,Middle_East,16060.7,557.9,349.7,0.6268,Standard,0.9526,44.4,25.8,19.7,0.7516,0.9531,1
Rail,South_Asia,North_America,2996.3,79.3,60.8,0.7667,Standard,0.99,29.7,52.0,14.9,0.05,0.5841,1
Air,East_Asia,Oceania,13054.5,49.6,28.4,0.5726,Standard,0.8489,23.7,34.8,17.0,0.3758,0.9355,1
Air,East_Asia,Europe,4356.6,38.0,23.5,0.6184,Standard,0.99,28.9,46.6,21.6,0.2136,0.9448,1
Rail,Europe,Europe,4437.2,110.8,25.5,0.2301,High,0.6815,35.3,48.3,41.2,0.0208,0.8258,1
Ocean,East_Asia,North_America,12529.1,434.1,77.0,0.1774,Urgent,0.9083,63.9,58.6,16.7,0.3152,0.1667,1
Road,East_Asia,Europe,921.6,23.4,2.4,0.1026,Standard,0.99,12.2,46.1,7.4,0.5731,0.6454,0
Road,North_America,North_America,1562.2,28.0,23.9,0.8536,High,0.8675,44.3,63.0,4.8,0.1699,0.277,1
Air,South_Asia,Oceania,7303.0,39.8,34.1,0.8568,High,0.9313,70.2,28.1,32.2,0.083,0.5851,1
Road,East_Asia,Europe,803.4,19.6,10.4,0.5306,Standard,0.6976,28.1,20.8,9.7,0.3163,0.3355,1
Rail,East_Asia,East_Asia,2754.3,101.0,22.7,0.2248,Standard,0.862,29.8,50.6,8.8,0.1922,0.707,1
Road,East_Asia,East_Asia,1283.0,31.7,22.6,0.7129,Urgent,0.8736,12.3,18.0,34.6,0.15,0.9779,1
Air,South_Asia,East_Asia,7193.6,44.6,37.3,0.8363,Standard,0.7914,21.5,53.2,47.0,0.5274,0.9732,1
Ocean,South_Asia,Middle_East,9477.6,371.6,143.3,0.3856,Urgent,0.6973,33.7,38.7,27.8,0.6027,0.9297,1
Ocean,South_Asia,Europe,12295.0,467.6,243.7,0.5212,High,0.8605,36.1,52.8,29.6,0.3934,0.5255,1
Air,Southeast_Asia,Oceania,2586.1,19.8,5.8,0.2929,Standard,0.8841,18.4,9.4,55.1,0.5708,0.8538,1
Ocean,East_Asia,North_America,10949.1,385.5,156.0,0.4047,Standard,0.9074,35.7,10.9,30.7,0.3381,0.3656,1
Ocean,South_Asia,Latin_America,9396.9,350.2,181.6,0.5186,High,0.8377,64.1,24.0,6.9,0.7104,0.5893,1
Air,Latin_America,Middle_East,10034.5,45.2,7.2,0.1593,Standard,0.8245,77.6,24.5,13.6,0.3725,0.9686,1
Air,Latin_America,East_Asia,9096.7,32.0,29.8,0.9313,High,0.6499,36.5,26.7,36.8,0.4086,0.552,1
Air,Southeast_Asia,Europe,6164.6,42.9,33.8,0.7879,Standard,0.8084,23.3,41.1,53.0,0.3188,0.8233,1
Ocean,Europe,North_America,3500.0,178.8,31.2,0.1745,Standard,0.7298,19.5,100.0,8.8,0.472,0.6765,1
Air,Middle_East,Europe,5232.3,20.4,4.4,0.2157,Urgent,0.8725,16.4,60.5,60.8,0.1746,0.9509,1
Road,East_Asia,East_Asia,907.0,21.6,19.8,0.9167,Standard,0.7697,26.8,32.6,46.7,0.0911,0.2878,1
Rail,South_Asia,South_Asia,1249.5,52.6,20.1,0.3821,Standard,0.6587,80.2,71.4,40.9,0.1207,0.8818,1
Road,Europe,Europe,1023.7,25.8,24.8,0.9612,Standard,0.9235,82.6,26.2,20.0,0.1172,0.8967,1
Ocean,South_Asia,Latin_America,10569.8,370.3,360.7,0.9741,Standard,0.8455,17.1,23.0,22.3,0.5104,0.7009,1
Road,East_Asia,Europe,2148.9,45.6,31.6,0.693,Standard,0.7543,48.2,25.8,23.3,0.3719,0.42,1
Road,Europe,Latin_America,915.9,24.0,6.0,0.25,Urgent,0.6211,57.8,44.3,24.1,0.267,0.3888,1
Ocean,East_Asia,North_America,10547.6,394.8,182.0,0.461,Standard,0.99,31.7,50.3,22.2,0.5723,0.2464,1
Air,North_America,East_Asia,4906.5,25.3,7.7,0.3043,Standard,0.9687,39.0,36.2,11.1,0.2872,0.7268,1
Ocean,Europe,Oceania,14910.6,542.7,183.7,0.3385,Standard,0.9384,34.4,9.1,4.2,0.5046,0.3881,1
Air,Southeast_Asia,North_America,6832.3,29.7,23.1,0.7778,High,0.7719,26.3,28.3,46.8,0.0524,0.5115,1
Ocean,Southeast_Asia,Europe,11971.9,453.6,434.7,0.9583,Standard,0.985,23.8,19.0,29.4,0.6456,0.6986,1
Rail,North_America,Europe,3000.7,103.3,61.3,0.5934,Standard,0.99,45.2,22.3,38.3,0.5878,0.3104,1
Road,Europe,Europe,1440.8,25.6,7.9,0.3086,Urgent,0.8359,47.9,100.0,32.1,0.0929,0.7342,1
Road,Latin_America,Latin_America,932.4,25.9,14.1,0.5444,Standard,0.693,4.9,87.2,25.7,0.1491,0.7309,1
Air,Middle_East,Oceania,9715.9,35.3,32.4,0.9178,High,0.9373,45.4,34.2,40.2,0.443,0.4605,1
Air,North_America,Europe,9644.3,41.0,18.7,0.4561,Standard,0.8557,18.1,41.8,23.7,0.2548,0.2465,1
Road,Latin_America,Europe,933.9,27.0,15.1,0.5593,Standard,0.7562,25.8,25.6,31.8,0.3474,0.0512,1
Road,Latin_America,Latin_America,1497.7,30.4,3.2,0.1053,Standard,0.8838,36.3,54.1,7.4,0.02,0.925,1
Road,Europe,Europe,594.8,18.8,17.7,0.9415,Standard,0.7273,13.5,39.6,31.4,0.1504,0.0868,1
Ocean,South_Asia,North_America,12152.8,470.4,113.5,0.2413,Urgent,0.926,26.1,33.7,40.1,0.5104,0.7819,1
Road,North_America,North_America,752.3,16.0,4.6,0.2875,High,0.7371,24.9,22.6,29.3,0.162,0.0858,1
Air,Middle_East,North_America,4033.4,39.7,5.1,0.1285,Standard,0.9748,29.7,24.8,49.4,0.3119,0.4513,1
Road,Europe,Europe,1154.0,25.2,16.9,0.6706,High,0.9869,55.4,100.0,29.4,0.0459,0.1281,1
Air,North_America,East_Asia,3951.3,21.3,4.2,0.1972,High,0.4643,46.1,20.8,43.7,0.6016,0.238,1
Air,East_Asia,Oceania,4577.5,18.7,11.5,0.615,Standard,0.7972,45.3,43.3,22.0,0.5594,0.4757,1
Ocean,Southeast_Asia,Oceania,12596.8,433.7,219.5,0.5061,High,0.9189,19.6,19.4,26.6,0.3612,0.7698,1
Ocean,Europe,Latin_America,10462.4,381.1,357.0,0.9368,Standard,0.8716,40.8,39.2,7.3,0.3999,0.1115,1
Ocean,Southeast_Asia,Oceania,15091.3,524.0,413.5,0.7891,High,0.8548,18.7,10.5,38.9,0.2571,0.4262,1
Road,East_Asia,East_Asia,897.5,25.8,3.8,0.1473,High,0.9489,33.1,1.3,27.7,0.1343,0.9336,1
Rail,South_Asia,East_Asia,2217.4,63.0,4.8,0.0762,Standard,0.9218,16.1,25.3,15.4,0.125,0.1809,0
Ocean,Europe,Latin_America,6780.5,292.7,238.3,0.8141,Standard,0.99,17.0,71.3,10.7,0.5668,0.3044,1
Ocean,Southeast_Asia,Middle_East,14505.2,517.9,502.7,0.9707,Standard,0.99,17.4,30.8,22.8,0.5725,0.417,1
Ocean,South_Asia,Latin_America,11977.3,448.3,348.1,0.7765,Urgent,0.8744,30.1,24.4,25.7,0.4228,0.2413,1
Ocean,Southeast_Asia,Europe,12477.8,465.5,62.0,0.1332,Standard,0.99,54.4,100.0,49.8,0.4102,0.8847,1
Air,South_Asia,East_Asia,2241.4,22.3,4.6,0.2063,Urgent,0.7946,19.4,94.2,26.8,0.295,0.1323,1
Air,Latin_America,East_Asia,4214.5,23.7,23.2,0.9789,High,0.6897,29.4,32.8,24.9,0.5065,0.9307,1
Air,Southeast_Asia,Europe,5443.2,27.2,9.3,0.3419,Standard,0.7325,32.3,51.8,100.0,0.5926,0.6228,1
Rail,North_America,Europe,3670.1,110.2,85.1,0.7722,Standard,0.8429,37.7,59.0,23.2,0.5248,0.5089,1
Ocean,Southeast_Asia,Europe,8881.4,337.2,44.1,0.1308,High,0.99,26.9,26.9,18.8,0.2512,0.521,1
Ocean,South_Asia,Middle_East,12680.1,459.8,109.2,0.2375,Urgent,0.99,32.7,43.5,19.3,0.2197,0.0863,1
Ocean,Southeast_Asia,Middle_East,14940.0,520.3,259.8,0.4993,Standard,0.6589,2.4,29.7,99.6,0.05,0.9199,1
Rail,North_America,North_America,2946.1,73.8,8.8,0.1192,High,0.773,9.6,31.0,15.2,0.2589,0.1514,0
Air,Middle_East,Oceania,6075.8,35.8,17.0,0.4749,High,0.6602,61.4,46.4,46.4,0.2124,0.4684,1
Air,South_Asia,North_America,9762.0,48.9,8.5,0.1738,High,0.7111,21.4,51.0,22.4,0.3525,0.6236,1
Road,Latin_America,Latin_America,1208.1,22.1,6.4,0.2896,Standard,0.9405,56.5,28.9,9.2,0.1772,0.6891,1
Road,Latin_America,Latin_America,1224.0,27.3,18.9,0.6923,Standard,0.8701,31.8,21.7,37.4,0.0961,0.2664,1
Air,South_Asia,East_Asia,2918.5,35.1,11.2,0.3191,Standard,0.6639,49.0,15.5,20.7,0.6535,0.4951,1
Ocean,East_Asia,Middle_East,12625.7,435.3,363.2,0.8344,High,0.9223,28.3,27.5,71.7,0.2582,0.8504,1
Ocean,South_Asia,Middle_East,14344.5,542.4,290.5,0.5356,Standard,0.8281,26.1,19.0,39.3,0.2838,0.8443,1
Rail,East_Asia,East_Asia,1090.8,42.1,3.2,0.076,Standard,0.784,35.1,46.6,14.9,0.1277,0.2184,0
Air,South_Asia,Middle_East,7080.4,23.5,7.6,0.3234,Standard,0.7037,100.0,25.4,66.0,0.5601,0.5384,1
Air,East_Asia,Middle_East,8581.9,31.4,22.2,0.707,Standard,0.7178,10.5,6.1,51.4,0.3016,0.8731,1
Air,North_America,Oceania,6150.4,21.5,14.7,0.6837,Standard,0.718,19.0,21.6,72.8,0.3466,0.3787,1
Air,Europe,North_America,4885.4,25.4,19.2,0.7559,Urgent,0.7545,45.7,52.0,21.0,0.05,0.8489,1
Ocean,Europe,Latin_America,13020.6,448.7,362.3,0.8074,Standard,0.7165,18.6,11.4,20.5,0.371,0.4106,1
Rail,South_Asia,South_Asia,5075.0,144.8,71.9,0.4965,High,0.8268,23.9,40.1,41.6,0.1643,0.1568,1
Ocean,Southeast_Asia,Latin_America,11693.0,456.7,242.4,0.5308,High,0.9414,34.4,25.9,38.2,0.3828,0.3838,1
Ocean,Europe,Latin_America,8327.3,320.6,228.0,0.7112,Standard,0.866,93.6,47.3,34.6,0.4304,0.9131,1
Air,East_Asia,Europe,6288.4,25.4,13.1,0.5157,High,0.6808,12.2,38.6,54.1,0.6517,0.5828,1
Air,East_Asia,North_America,6249.4,23.6,9.6,0.4068,Standard,0.99,26.5,62.3,22.5,0.6117,0.6412,1
Ocean,East_Asia,Europe,9584.1,347.3,298.3,0.8589,Standard,0.8424,45.3,16.0,23.3,0.8597,0.7195,1
Rail,North_America,North_America,4318.6,99.0,69.4,0.701,Standard,0.8146,32.9,15.8,33.1,0.2424,0.3292,1
Ocean,East_Asia,Oceania,9383.9,386.0,253.4,0.6565,High,0.655,34.8,37.7,62.2,0.417,0.8818,1
Ocean,South_Asia,North_America,13510.3,490.5,254.9,0.5197,Standard,0.7428,74.6,37.6,40.5,0.0865,0.5946,1
Ocean,East_Asia,Latin_America,10873.9,416.7,208.4,0.5001,High,0.9351,52.0,34.1,42.1,0.1585,0.8446,1
Road,East_Asia,East_Asia,1145.4,27.9,17.4,0.6237,High,0.9505,56.4,63.8,13.2,0.2045,0.3532,1
Ocean,Southeast_Asia,Oceania,5482.9,221.0,213.0,0.9638,High,0.9207,23.3,25.2,79.7,0.3406,0.8986,1
Ocean,South_Asia,Middle_East,7290.1,275.5,207.8,0.7543,Standard,0.829,45.4,24.4,36.6,0.7063,0.9521,1
Rail,East_Asia,East_Asia,2716.2,80.6,48.4,0.6005,High,0.99,41.1,32.8,22.7,0.1514,0.0501,0
Ocean,Europe,Oceania,14832.0,534.5,336.3,0.6292,Standard,0.7736,44.0,52.9,35.7,0.5002,0.3636,1
Rail,North_America,Europe,4293.2,121.6,30.5,0.2508,Standard,0.7082,17.8,32.6,34.1,0.5222,0.2325,1
Ocean,Europe,Middle_East,14684.4,510.1,64.1,0.1257,Urgent,0.777,52.2,56.8,36.2,0.6059,0.8417,1
Ocean,East_Asia,Europe,9722.5,358.9,62.2,0.1733,Standard,0.7304,31.6,16.5,24.5,0.4296,0.4627,1
Road,East_Asia,East_Asia,1099.9,29.5,28.3,0.9593,Standard,0.8528,36.4,32.9,36.4,0.0331,0.7197,1
Ocean,South_Asia,North_America,10025.9,388.4,137.5,0.354,High,0.99,38.9,29.1,22.2,0.542,0.5476,1
Ocean,East_Asia,Europe,6440.1,293.4,143.2,0.4881,Standard,0.8748,39.8,54.5,2.3,0.7862,0.931,1
Air,East_Asia,North_America,7210.9,24.6,14.1,0.5732,Standard,0.7627,61.1,20.2,19.2,0.431,0.8483,1
Air,Latin_America,North_America,2432.8,18.6,3.3,0.1774,High,0.8337,37.3,24.8,41.7,0.4049,0.3732,1
Ocean,South_Asia,Latin_America,12845.1,469.7,343.1,0.7305,Standard,0.99,51.6,28.1,7.5,0.2583,0.7805,1
Ocean,Europe,Oceania,12953.9,451.7,77.5,0.1716,Standard,0.792,23.3,22.1,12.5,0.4758,0.7343,1
Ocean,Europe,Europe,6076.1,248.5,143.1,0.5759,High,0.7583,19.9,16.1,57.6,0.0855,0.82,1
Rail,South_Asia,South_Asia,2545.2,98.8,77.3,0.7824,Urgent,0.7271,33.4,31.2,20.4,0.1203,0.9408,1
Rail,North_America,North_America,4133.2,108.5,35.5,0.3272,High,0.7914,25.0,15.1,31.3,0.0805,0.6362,1
Ocean,East_Asia,Europe,11475.1,405.5,163.1,0.4022,Urgent,0.9236,56.5,73.7,17.3,0.3491,0.3275,1
Road,Latin_America,Latin_America,1303.4,23.0,6.6,0.287,Standard,0.99,100.0,30.3,19.6,0.114,0.7927,1
Ocean,Southeast_Asia,North_America,5951.4,253.4,88.5,0.3493,High,0.7753,61.5,41.3,26.4,0.6484,0.4588,1
Rail,East_Asia,Europe,2223.5,65.4,27.7,0.4235,Standard,0.9457,17.4,64.1,48.2,0.1712,0.3438,1
Air,North_America,Middle_East,6831.4,42.0,13.1,0.3119,Standard,0.99,8.4,86.6,18.4,0.4466,0.1813,1
Air,South_Asia,Europe,8219.5,25.2,15.0,0.5952,Standard,0.9296,22.2,20.9,18.2,0.4292,0.1836,1
Rail,East_Asia,East_Asia,1629.5,78.7,28.8,0.3659,Standard,0.9136,44.4,35.0,47.4,0.1033,0.2838,0
Ocean,Southeast_Asia,North_America,11699.5,460.8,287.4,0.6237,High,0.8703,44.2,21.0,8.1,0.6518,0.486,1
Road,Latin_America,Latin_America,1444.9,36.5,13.8,0.3781,Standard,0.9039,35.5,62.1,3.1,0.0987,0.162,1
Rail,East_Asia,East_Asia,2791.0,81.3,20.0,0.246,High,0.99,19.6,48.6,60.4,0.2163,0.5093,1
Rail,North_America,North_America,2042.1,72.4,31.5,0.4351,High,0.5889,26.5,31.1,14.3,0.2531,0.8548,1
Road,Europe,Europe,1348.1,34.0,4.8,0.1412,Urgent,0.8906,11.7,21.9,31.0,0.1019,0.4689,0
Ocean,Southeast_Asia,Oceania,15072.2,538.1,110.5,0.2054,Standard,0.9595,55.8,23.1,25.4,0.454,0.8435,1
Road,East_Asia,East_Asia,1730.5,33.8,26.4,0.7811,High,0.7767,9.7,18.0,10.1,0.1495,0.2767,0
Rail,East_Asia,East_Asia,3382.9,109.1,10.2,0.0935,High,0.8025,8.3,36.8,32.8,0.1593,0.2035,1
Road,North_America,Europe,228.8,17.9,4.9,0.2737,Standard,0.6639,42.7,49.6,15.7,0.212,0.7516,1
Ocean,Southeast_Asia,Middle_East,15280.4,515.5,157.3,0.3051,Urgent,0.8687,38.6,12.9,6.5,0.1895,0.6403,1
Air,South_Asia,East_Asia,6719.9,41.1,30.2,0.7348,Urgent,0.99,14.7,35.7,33.7,0.6328,0.5791,1
Air,Southeast_Asia,East_Asia,9224.5,37.2,20.4,0.5484,High,0.8484,39.7,90.4,44.9,0.8968,0.818,1
Rail,South_Asia,South_Asia,2718.7,84.8,53.4,0.6297,Standard,0.8213,31.1,46.5,14.6,0.1543,0.2673,1
Air,North_America,Middle_East,9540.9,35.1,4.3,0.1225,Standard,0.9523,57.8,59.4,10.1,0.301,0.1553,1
Rail,South_Asia,South_Asia,3433.9,93.5,64.9,0.6941,Standard,0.8135,32.1,41.7,13.9,0.0558,0.2965,1
Ocean,Europe,Europe,16338.1,568.4,396.4,0.6974,Standard,0.8948,39.5,51.0,15.0,0.101,0.4241,1
Ocean,Europe,Middle_East,12914.3,458.4,64.6,0.1409,Urgent,0.9825,16.9,28.1,15.3,0.4815,0.464,1
Ocean,South_Asia,Middle_East,7953.0,329.3,148.5,0.451,High,0.6245,19.8,45.1,41.0,0.2857,0.4827,1
Road,North_America,North_America,730.4,16.6,13.3,0.8012,High,0.8243,22.2,35.3,25.1,0.1143,0.8586,1
Ocean,Southeast_Asia,Latin_America,8491.9,339.5,201.7,0.5941,Standard,0.99,18.9,21.6,34.6,0.399,0.524,1
Ocean,Europe,Oceania,9625.0,348.9,240.6,0.6896,High,0.8629,19.3,56.9,47.8,0.5865,0.5836,1
Ocean,South_Asia,Oceania,8754.2,348.8,148.0,0.4243,Standard,0.9579,14.6,17.6,45.9,0.2939,0.3295,1
Ocean,Europe,Latin_America,13818.9,500.5,86.7,0.1732,Standard,0.9894,38.7,73.8,12.0,0.5102,0.895,1
Rail,South_Asia,South_Asia,2721.4,78.2,24.0,0.3069,Standard,0.7616,29.2,92.4,6.1,0.0639,0.483,1
Rail,South_Asia,South_Asia,4296.5,101.8,91.2,0.8959,Standard,0.99,41.2,57.4,10.6,0.0872,0.9509,1
