transport_mode,origin_region,destination_region,route_distance_km,planned_duration_hours,elapsed_transit_hours,transit_progress_pct,priority_level,carrier_reliability_score,origin_port_congestion_index,dest_port_congestion_index,weather_severity_index,customs_inspection_risk,seasonal_disruption_factor,disrupted,split
Ocean,South_Asia,North_America,12152.8,470.4,113.5,0.2413,Urgent,0.926,26.1,33.7,40.1,0.5104,0.7819,1,train
Road,North_America,North_America,752.3,16.0,4.6,0.2875,High,0.7371,24.9,22.6,29.3,0.162,0.0858,1,train
Air,Middle_East,North_America,4033.4,39.7,5.1,0.1285,Standard,0.9748,29.7,24.8,49.4,0.3119,0.4513,1,train
Road,Europe,Europe,1154.0,25.2,16.9,0.6706,High,0.9869,55.4,100.0,29.4,0.0459,0.1281,1,train
Air,North_America,East_Asia,3951.3,21.3,4.2,0.1972,High,0.4643,46.1,20.8,43.7,0.6016,0.238,1,train
Air,East_Asia,Oceania,4577.5,18.7,11.5,0.615,Standard,0.7972,45.3,43.3,22.0,0.5594,0.4757,1,train
Ocean,Southeast_Asia,Oceania,12596.8,433.7,219.5,0.5061,High,0.9189,19.6,19.4,26.6,0.3612,0.7698,1,train
Ocean,Europe,Latin_America,10462.4,381.1,357.0,0.9368,Standard,0.8716,40.8,39.2,7.3,0.3999,0.1115,1,train
Ocean,Southeast_Asia,Oceania,15091.3,524.0,413.5,0.7891,High,0.8548,18.7,10.5,38.9,0.2571,0.4262,1,train
Road,East_Asia,East_Asia,897.5,25.8,3.8,0.1473,High,0.9489,33.1,1.3,27.7,0.1343,0.9336,1,train
Rail,South_Asia,East_Asia,2217.4,63.0,4.8,0.0762,Standard,0.9218,16.1,25.3,15.4,0.125,0.1809,0,train
Ocean,Europe,Latin_America,6780.5,292.7,238.3,0.8141,Standard,0.99,17.0,71.3,10.7,0.5668,0.3044,1,train
Ocean,Southeast_Asia,Middle_East,14505.2,517.9,502.7,0.9707,Standard,0.99,17.4,30.8,22.8,0.5725,0.417,1,train
Ocean,South_Asia,Latin_America,11977.3,448.3,348.1,0.7765,Urgent,0.8744,30.1,24.4,25.7,0.4228,0.2413,1,train
Ocean,Southeast_Asia,Europe,12477.8,465.5,62.0,0.1332,Standard,0.99,54.4,100.0,49.8,0.4102,0.8847,1,train
Air,South_Asia,East_Asia,2241.4,22.3,4.6,0.2063,Urgent,0.7946,19.4,94.2,26.8,0.295,0.1323,1,train
Air,Latin_America,East_Asia,4214.5,23.7,23.2,0.9789,High,0.6897,29.4,32.8,24.9,0.5065,0.9307,1,train
Air,Southeast_Asia,Europe,5443.2,27.2,9.3,0.3419,Standard,0.7325,32.3,51.8,100.0,0.5926,0.6228,1,train
Rail,North_America,Europe,3670.1,110.2,85.1,0.7722,Standard,0.8429,37.7,59.0,23.2,0.5248,0.5089,1,train
Ocean,Southeast_Asia,Europe,8881.4,337.2,44.1,0.1308,High,0.99,26.9,26.9,18.8,0.2512,0.521,1,train
Ocean,South_Asia,Middle_East,12680.1,459.8,109.2,0.2375,Urgent,0.99,32.7,43.5,19.3,0.2197,0.0863,1,train
Ocean,Southeast_Asia,Middle_East,14940.0,520.3,259.8,0.4993,Standard,0.6589,2.4,29.7,99.6,0.05,0.9199,1,train
Rail,North_America,North_America,2946.1,73.8,8.8,0.1192,High,0.773,9.6,31.0,15.2,0.2589,0.1514,0,train
Air,Middle_East,Oceania,6075.8,35.8,17.0,0.4749,High,0.6602,61.4,46.4,46.4,0.2124,0.4684,1,train
Air,South_Asia,North_America,9762.0,48.9,8.5,0.1738,High,0.7111,21.4,51.0,22.4,0.3525,0.6236,1,train
Road,Latin_America,Latin_America,1208.1,22.1,6.4,0.2896,Standard,0.9405,56.5,28.9,9.2,0.1772,0.6891,1,train
Road,Latin_America,Latin_America,1224.0,27.3,18.9,0.6923,Standard,0.8701,31.8,21.7,37.4,0.0961,0.2664,1,train
Air,South_Asia,East_Asia,2918.5,35.1,11.2,0.3191,Standard,0.6639,49.0,15.5,20.7,0.6535,0.4951,1,train
Ocean,East_Asia,Middle_East,12625.7,435.3,363.2,0.8344,High,0.9223,28.3,27.5,71.7,0.2582,0.8504,1,train
Ocean,South_Asia,Middle_East,14344.5,542.4,290.5,0.5356,Standard,0.8281,26.1,19.0,39.3,0.2838,0.8443,1,train
Rail,East_Asia,East_Asia,1090.8,42.1,3.2,0.076,Standard,0.784,35.1,46.6,14.9,0.1277,0.2184,0,train
Air,South_Asia,Middle_East,7080.4,23.5,7.6,0.3234,Standard,0.7037,100.0,25.4,66.0,0.5601,0.5384,1,train
Air,East_Asia,Middle_East,8581.9,31.4,22.2,0.707,Standard,0.7178,10.5,6.1,51.4,0.3016,0.8731,1,train
Air,North_America,Oceania,6150.4,21.5,14.7,0.6837,Standard,0.718,19.0,21.6,72.8,0.3466,0.3787,1,train
Air,Europe,North_America,4885.4,25.4,19.2,0.7559,Urgent,0.7545,45.7,52.0,21.0,0.05,0.8489,1,train
Ocean,Europe,Latin_America,13020.6,448.7,362.3,0.8074,Standard,0.7165,18.6,11.4,20.5,0.371,0.4106,1,train
Rail,South_Asia,South_Asia,5075.0,144.8,71.9,0.4965,High,0.8268,23.9,40.1,41.6,0.1643,0.1568,1,train
Ocean,Southeast_Asia,Latin_America,11693.0,456.7,242.4,0.5308,High,0.9414,34.4,25.9,38.2,0.3828,0.3838,1,train
Ocean,Europe,Latin_America,8327.3,320.6,228.0,0.7112,Standard,0.866,93.6,47.3,34.6,0.4304,0.9131,1,train
Air,East_Asia,Europe,6288.4,25.4,13.1,0.5157,High,0.6808,12.2,38.6,54.1,0.6517,0.5828,1,train
Air,East_Asia,North_America,6249.4,23.6,9.6,0.4068,Standard,0.99,26.5,62.3,22.5,0.6117,0.6412,1,train
Ocean,East_Asia,Europe,9584.1,347.3,298.3,0.8589,Standard,0.8424,45.3,16.0,23.3,0.8597,0.7195,1,train
Rail,North_America,North_America,4318.6,99.0,69.4,0.701,Standard,0.8146,32.9,15.8,33.1,0.2424,0.3292,1,train
Ocean,East_Asia,Oceania,9383.9,386.0,253.4,0.6565,High,0.655,34.8,37.7,62.2,0.417,0.8818,1,train
Ocean,South_Asia,North_America,13510.3,490.5,254.9,0.5197,Standard,0.7428,74.6,37.6,40.5,0.0865,0.5946,1,train
Ocean,East_Asia,Latin_America,10873.9,416.7,208.4,0.5001,High,0.9351,52.0,34.1,42.1,0.1585,0.8446,1,train
Road,East_Asia,East_Asia,1145.4,27.9,17.4,0.6237,High,0.9505,56.4,63.8,13.2,0.2045,0.3532,1,train
Ocean,Southeast_Asia,Oceania,5482.9,221.0,213.0,0.9638,High,0.9207,23.3,25.2,79.7,0.3406,0.8986,1,train
Ocean,South_Asia,Middle_East,7290.1,275.5,207.8,0.7543,Standard,0.829,45.4,24.4,36.6,0.7063,0.9521,1,train
Rail,East_Asia,East_Asia,2716.2,80.6,48.4,0.6005,High,0.99,41.1,32.8,22.7,0.1514,0.0501,0,train
Ocean,Europe,Oceania,14832.0,534.5,336.3,0.6292,Standard,0.7736,44.0,52.9,35.7,0.5002,0.3636,1,train
Rail,North_America,Europe,4293.2,121.6,30.5,0.2508,Standard,0.7082,17.8,32.6,34.1,0.5222,0.2325,1,train
Ocean,Europe,Middle_East,14684.4,510.1,64.1,0.1257,Urgent,0.777,52.2,56.8,36.2,0.6059,0.8417,1,train
Ocean,East_Asia,Europe,9722.5,358.9,62.2,0.1733,Standard,0.7304,31.6,16.5,24.5,0.4296,0.4627,1,train
Road,East_Asia,East_Asia,1099.9,29.5,28.3,0.9593,Standard,0.8528,36.4,32.9,36.4,0.0331,0.7197,1,train
Ocean,South_Asia,North_America,10025.9,388.4,137.5,0.354,High,0.99,38.9,29.1,22.2,0.542,0.5476,1,train
Ocean,East_Asia,Europe,6440.1,293.4,143.2,0.4881,Standard,0.8748,39.8,54.5,2.3,0.7862,0.931,1,train
Air,East_Asia,North_America,7210.9,24.6,14.1,0.5732,Standard,0.7627,61.1,20.2,19.2,0.431,0.8483,1,train
Air,Latin_America,North_America,2432.8,18.6,3.3,0.1774,High,0.8337,37.3,24.8,41.7,0.4049,0.3732,1,train
Ocean,South_Asia,Latin_America,12845.1,469.7,343.1,0.7305,Standard,0.99,51.6,28.1,7.5,0.2583,0.7805,1,train
Ocean,Europe,Oceania,12953.9,451.7,77.5,0.1716,Standard,0.792,23.3,22.1,12.5,0.4758,0.7343,1,train
Ocean,Europe,Europe,6076.1,248.5,143.1,0.5759,High,0.7583,19.9,16.1,57.6,0.0855,0.82,1,train
Rail,South_Asia,South_Asia,2545.2,98.8,77.3,0.7824,Urgent,0.7271,33.4,31.2,20.4,0.1203,0.9408,1,train
Rail,North_America,North_America,4133.2,108.5,35.5,0.3272,High,0.7914,25.0,15.1,31.3,0.0805,0.6362,1,train
Ocean,East_Asia,Europe,11475.1,405.5,163.1,0.4022,Urgent,0.9236,56.5,73.7,17.3,0.3491,0.3275,1,train
Road,Latin_America,Latin_America,1303.4,23.0,6.6,0.287,Standard,0.99,100.0,30.3,19.6,0.114,0.7927,1,train
Ocean,Southeast_Asia,North_America,5951.4,253.4,88.5,0.3493,High,0.7753,61.5,41.3,26.4,0.6484,0.4588,1,train
Rail,East_Asia,Europe,2223.5,65.4,27.7,0.4235,Standard,0.9457,17.4,64.1,48.2,0.1712,0.3438,1,train
Air,North_America,Middle_East,6831.4,42.0,13.1,0.3119,Standard,0.99,8.4,86.6,18.4,0.4466,0.1813,1,train
Air,South_Asia,Europe,8219.5,25.2,15.0,0.5952,Standard,0.9296,22.2,20.9,18.2,0.4292,0.1836,1,train
Rail,East_Asia,East_Asia,1629.5,78.7,28.8,0.3659,Standard,0.9136,44.4,35.0,47.4,0.1033,0.2838,0,train
Ocean,Southeast_Asia,North_America,11699.5,460.8,287.4,0.6237,High,0.8703,44.2,21.0,8.1,0.6518,0.486,1,train
Road,Latin_America,Latin_America,1444.9,36.5,13.8,0.3781,Standard,0.9039,35.5,62.1,3.1,0.0987,0.162,1,train
Rail,East_Asia,East_Asia,2791.0,81.3,20.0,0.246,High,0.99,19.6,48.6,60.4,0.2163,0.5093,1,train
Rail,North_America,North_America,2042.1,72.4,31.5,0.4351,High,0.5889,26.5,31.1,14.3,0.2531,0.8548,1,train
Road,Europe,Europe,1348.1,34.0,4.8,0.1412,Urgent,0.8906,11.7,21.9,31.0,0.1019,0.4689,0,train
Ocean,Southeast_Asia,Oceania,15072.2,538.1,110.5,0.2054,Standard,0.9595,55.8,23.1,25.4,0.454,0.8435,1,train
Road,East_Asia,East_Asia,1730.5,33.8,26.4,0.7811,High,0.7767,9.7,18.0,10.1,0.1495,0.2767,0,train
Rail,East_Asia,East_Asia,3382.9,109.1,10.2,0.0935,High,0.8025,8.3,36.8,32.8,0.1593,0.2035,1,train
Road,North_America,Europe,228.8,17.9,4.9,0.2737,Standard,0.6639,42.7,49.6,15.7,0.212,0.7516,1,train
Ocean,Southeast_Asia,Middle_East,15280.4,515.5,157.3,0.3051,Urgent,0.8687,38.6,12.9,6.5,0.1895,0.6403,1,train
Air,South_Asia,East_Asia,6719.9,41.1,30.2,0.7348,Urgent,0.99,14.7,35.7,33.7,0.6328,0.5791,1,train
Air,Southeast_Asia,East_Asia,9224.5,37.2,20.4,0.5484,High,0.8484,39.7,90.4,44.9,0.8968,0.818,1,train
Rail,South_Asia,South_Asia,2718.7,84.8,53.4,0.6297,Standard,0.8213,31.1,46.5,14.6,0.1543,0.2673,1,train
Air,North_America,Middle_East,9540.9,35.1,4.3,0.1225,Standard,0.9523,57.8,59.4,10.1,0.301,0.1553,1,train
Rail,South_Asia,South_Asia,3433.9,93.5,64.9,0.6941,Standard,0.8135,32.1,41.7,13.9,0.0558,0.2965,1,train
Ocean,Europe,Europe,16338.1,568.4,396.4,0.6974,Standard,0.8948,39.5,51.0,15.0,0.101,0.4241,1,train
Ocean,Europe,Middle_East,12914.3,458.4,64.6,0.1409,Urgent,0.9825,16.9,28.1,15.3,0.4815,0.464,1,train
Ocean,South_Asia,Middle_East,7953.0,329.3,148.5,0.451,High,0.6245,19.8,45.1,41.0,0.2857,0.4827,1,train
Road,North_America,North_America,730.4,16.6,13.3,0.8012,High,0.8243,22.2,35.3,25.1,0.1143,0.8586,1,train
